YearBuilt,YearRemodeled,Condition,FinSqFt,Cooling,FP_Open,Bedroom,FullBath,HalfBath,TotalRooms,LotSize,LandValue,ImprovementsValue,TotalValue,LastSalePrice,LastSaleDate,ESDistrict,MSDistrict,HSDistrict,CensusTract,Age,Remodeled,FP
2001,NA,Average,1572,Central Air,0,3,2,0,6,2,91200,220600,311800,0,11/09/1999,Meriwether Lewis,Henley,Western Albemarle,101,21,0,0
1906,1995,Average,1144,No Central Air,0,3,1,0,5,51.04,351900,91700,443600,57000,09/25/1990,Broadus Wood,Jouett,Albemarle,101,116,1,0
1964,NA,Average,1117,No Central Air,0,3,2,0,7,4.834,99900,148600,248500,110000,09/06/2013,Broadus Wood,Jouett,Albemarle,101,58,0,0
1975,NA,Average,1008,No Central Air,0,3,2,0,7,23.5,293600,181600,475200,165000,03/29/1996,Broadus Wood,Jouett,Albemarle,101,47,0,0
2004,NA,Average,2134,Central Air,1,3,2,1,0,12.111,176300,423700,600000,0,06/25/2003,Broadus Wood,Jouett,Albemarle,101,18,0,1
1962,NA,Average,1071,Central Air,0,3,1,0,6,2.812,84200,180800,265000,0,04/10/2020,Broadus Wood,Jouett,Albemarle,101,60,0,0
1967,NA,Average,1344,Central Air,0,2,1,0,4,3.491,99900,205500,305400,65000,07/02/1992,Broadus Wood,Jouett,Albemarle,101,55,0,0
2003,NA,Average,1384,Central Air,1,1,1,1,0,5.501,106900,366500,473400,550000,01/18/2022,Broadus Wood,Jouett,Albemarle,101,19,0,1
2013,NA,Average,1363,Central Air,0,4,2,0,7,2.15,70100,168300,238400,0,05/14/2013,Broadus Wood,Jouett,Albemarle,101,9,0,0
1979,NA,Average,1472,Central Air,1,3,2,0,6,10,188000,247900,435900,0,01/01/1754,Broadus Wood,Jouett,Albemarle,101,43,0,1
1964,NA,Average,1200,No Central Air,1,4,2,0,7,6.899,108700,193200,301900,0,12/30/1899,Broadus Wood,Jouett,Albemarle,101,58,0,1
1977,NA,Average,1488,No Central Air,1,3,2,0,5,5.517,121100,175800,296900,0,08/15/2017,Broadus Wood,Jouett,Albemarle,101,45,0,1
1977,NA,Average,2646,Central Air,1,3,2,0,6,3,94700,332200,426900,0,04/10/2020,Broadus Wood,Jouett,Albemarle,101,45,0,1
1998,NA,Average,2230,No Central Air,0,2,1,1,5,27.33,174000,365500,539500,47000,08/29/1992,Broadus Wood,Jouett,Albemarle,101,24,0,0
1979,NA,Average,1566,Central Air,1,3,2,0,6,5.879,110800,281000,391800,237400,07/23/2020,Broadus Wood,Jouett,Albemarle,101,43,0,1
1979,2002,Average,1957,Central Air,0,2,1,0,6,6.215,67200,140700,207900,0,12/01/1999,Broadus Wood,Jouett,Albemarle,101,43,1,0
1910,1988,Average,2576,No Central Air,1,4,2,0,9,0.945,126000,304500,430500,0,06/11/2013,Crozet,Henley,Western Albemarle,111,112,1,1
1920,NA,Average,1811,No Central Air,1,3,1,1,6,1.974,157800,243400,401200,0,11/23/1992,Brownsville,Henley,Western Albemarle,111,102,0,1
1754,NA,Average,1113,No Central Air,0,3,1,0,5,0.376,184400,85500,269900,0,12/27/2016,Brownsville,Henley,Western Albemarle,111,268,0,0
1930,NA,Average,754,No Central Air,0,1,1,0,3,0.214,56000,63200,119200,0,06/10/2020,Brownsville,Henley,Western Albemarle,111,92,0,0
1949,NA,Average,1022,Central Air,0,2,1,0,5,0.2646,116000,125000,241000,0,05/07/1996,Crozet,Henley,Western Albemarle,111,73,0,0
1991,NA,Average,1296,Central Air,0,3,2,0,5,0.1825,98000,185400,283400,220000,08/21/2015,Crozet,Henley,Western Albemarle,111,31,0,0
1945,NA,Average,892,Central Air,1,2,1,0,5,0.45,140000,127200,267200,0,07/22/2019,Crozet,Henley,Western Albemarle,111,77,0,1
1958,1978,Average,3001,Central Air,1,5,2,0,9,0,162500,132700,295200,575000,10/04/2017,Crozet,Henley,Western Albemarle,111,64,1,1
2020,NA,Average,2360,Central Air,1,4,3,0,8,0.559,158000,353800,511800,452800,05/04/2020,Crozet,Henley,Western Albemarle,111,2,0,1
2019,NA,Average,2105,Central Air,0,3,2,1,7,0.507,150000,314500,464500,155000,07/09/2018,Crozet,Henley,Western Albemarle,111,3,0,0
2019,NA,Average,2241,Central Air,1,3,2,1,7,0.504,150000,362000,512000,512350,06/05/2020,Crozet,Henley,Western Albemarle,111,3,0,1
2019,NA,Average,2843,Central Air,1,4,3,1,7,0.5,150000,586200,736200,663270,04/25/2019,Crozet,Henley,Western Albemarle,111,3,0,1
1908,NA,Average,2109,No Central Air,0,3,2,0,6,1.135,203900,168200,372100,10500,02/05/1988,Crozet,Henley,Western Albemarle,111,114,0,0
1951,NA,Average,1671,No Central Air,1,4,2,0,7,0.5245,160000,196600,356600,200000,11/20/2015,Crozet,Henley,Western Albemarle,111,71,0,1
1976,NA,Average,1170,No Central Air,1,4,2,1,9,1.45,243500,228000,471500,313000,06/29/2017,Crozet,Henley,Western Albemarle,111,46,0,1
1978,NA,Average,1405,Central Air,2,5,3,0,9,0.95,196000,236700,432700,151500,07/10/1997,Crozet,Henley,Western Albemarle,111,44,0,1
1920,NA,Average,2024,No Central Air,0,4,1,0,7,0.613,164000,153300,317300,0,12/30/1899,Crozet,Henley,Western Albemarle,111,102,0,0
1970,NA,Average,1559,Central Air,1,3,3,0,6,0.58,160000,203600,363600,110000,05/30/1995,Crozet,Henley,Western Albemarle,111,52,0,1
1971,NA,Average,2982,Central Air,1,5,3,0,9,0.37,132000,434400,566400,0,06/20/2012,Crozet,Henley,Western Albemarle,111,51,0,1
1966,NA,Average,2089,Central Air,1,3,3,0,6,0.46,144000,318400,462400,0,08/20/2001,Crozet,Henley,Western Albemarle,111,56,0,1
1953,NA,Average,2652,Central Air,1,6,3,1,10,1.184,205500,468400,673900,0,12/08/2017,Crozet,Henley,Western Albemarle,111,69,0,1
1956,NA,Average,1922,Central Air,2,3,2,0,6,1.2,206000,240500,446500,275000,02/07/2011,Crozet,Henley,Western Albemarle,111,66,0,1
1900,NA,Average,1599,No Central Air,2,3,2,0,7,0.544,156000,208800,364800,0,01/14/1993,Crozet,Henley,Western Albemarle,111,122,0,1
1950,NA,Average,2190,Central Air,1,3,2,0,7,1.13,203900,255100,459000,153333,08/29/2018,Crozet,Henley,Western Albemarle,111,72,0,1
1940,NA,Average,1964,Central Air,1,3,2,1,6,1.13,203900,274900,478800,490000,02/11/2021,Crozet,Henley,Western Albemarle,111,82,0,1
1935,NA,Average,2388,Central Air,1,3,1,1,7,1.437,213100,267000,480100,0,11/19/2002,Crozet,Henley,Western Albemarle,111,87,0,1
1950,1989,Average,2933,Central Air,1,4,3,0,7,0.6,162000,432100,594100,0,09/23/1994,Crozet,Henley,Western Albemarle,111,72,1,1
1900,NA,Good,2323,Central Air,2,3,2,0,8,0.5,150000,325300,475300,223000,02/15/2002,Crozet,Henley,Western Albemarle,111,122,0,1
1880,NA,Average,3094,Central Air,1,4,2,0,8,0.3,122000,313400,435400,268000,02/13/2015,Crozet,Henley,Western Albemarle,111,142,0,1
1948,NA,Average,1200,No Central Air,0,2,1,0,4,0.62,164000,78500,242500,0,11/20/2013,Crozet,Henley,Western Albemarle,111,74,0,0
1950,NA,Average,648,No Central Air,0,1,1,0,3,0.08,70000,67000,137000,0,11/20/2013,Crozet,Henley,Western Albemarle,111,72,0,0
1900,NA,Fair,2258,Central Air,0,3,3,0,7,0.637,166000,176800,342800,170000,12/03/2014,Crozet,Henley,Western Albemarle,111,122,0,0
1954,NA,Average,1020,No Central Air,0,3,2,0,5,0.361,132000,84300,216300,0,08/24/2011,Crozet,Henley,Western Albemarle,111,68,0,0
1954,NA,Good,720,No Central Air,0,2,1,0,4,0.386,85000,63900,148900,18000,12/30/1899,Crozet,Henley,Western Albemarle,111,68,0,0
1868,NA,Fair,2138,No Central Air,0,3,2,0,6,1.5,215000,159100,374100,193000,12/09/2015,Crozet,Henley,Western Albemarle,111,154,0,0
1900,1984,Fair,1152,Central Air,1,2,1,0,6,0.433,113600,74700,188300,168000,05/29/2020,Crozet,Henley,Western Albemarle,111,122,1,1
1919,2018,Good,2059,Central Air,0,3,2,1,9,0.6,162000,256600,418600,165700,08/15/2014,Crozet,Henley,Western Albemarle,111,103,1,0
1950,NA,Average,1142,No Central Air,0,2,1,0,5,0.403,110400,143500,253900,253000,02/22/2021,Crozet,Henley,Western Albemarle,111,72,0,0
1930,NA,Average,2171,Central Air,0,4,2,0,7,0.84,186000,249400,435400,285000,06/28/2010,Crozet,Henley,Western Albemarle,111,92,0,0
1950,NA,Average,1296,No Central Air,0,2,1,0,5,0.779,144000,84900,228900,105000,04/23/2002,Crozet,Henley,Western Albemarle,111,72,0,0
1940,1975,Average,1380,Central Air,0,3,2,0,6,0.53,123200,130500,253700,183000,02/13/2015,Crozet,Henley,Western Albemarle,111,82,1,0
1906,1987,Average,2152,Central Air,2,3,1,1,6,0.997,200000,205200,405200,0,06/13/2016,Crozet,Henley,Western Albemarle,111,116,1,1
1905,2007,Average,3104,No Central Air,2,4,2,1,7,1.581,217400,473300,690700,515000,08/01/2007,Crozet,Henley,Western Albemarle,111,117,1,1
1946,NA,Average,938,No Central Air,0,2,1,0,4,0.59,128000,71000,199000,0,04/25/2008,Crozet,Henley,Western Albemarle,111,76,0,0
1940,NA,Average,938,No Central Air,0,2,1,0,4,0.5,120000,68000,188000,0,05/21/2018,Crozet,Henley,Western Albemarle,111,82,0,0
1996,NA,Average,1125,Central Air,0,2,2,0,5,0.536,123200,126600,249800,190000,09/23/2016,Crozet,Henley,Western Albemarle,111,26,0,0
1996,NA,Average,1104,Central Air,0,3,3,1,7,0.507,120000,158200,278200,80181,02/29/1996,Crozet,Henley,Western Albemarle,111,26,0,0
1906,NA,Fair,1561,Central Air,0,3,2,0,6,0.5,150000,139900,289900,255000,07/11/2019,Crozet,Henley,Western Albemarle,111,116,0,0
1903,2017,Good,2866,Central Air,1,5,1,1,8,0.5,150000,423300,573300,493450,11/26/2018,Crozet,Henley,Western Albemarle,111,119,1,1
1900,NA,Average,2612,No Central Air,0,5,1,0,8,0.501,150000,267700,417700,155000,11/01/2002,Crozet,Henley,Western Albemarle,111,122,0,0
1971,NA,Average,1180,Central Air,0,3,2,0,6,0.529,123200,178100,301300,0,03/04/2020,Crozet,Henley,Western Albemarle,111,51,0,0
2021,NA,Average,2327,Central Air,0,3,3,1,7,0.046,75000,299000,374000,358545,04/01/2021,Crozet,Henley,Western Albemarle,111,1,0,0
1926,NA,Average,1254,Central Air,0,2,2,0,5,0.625,131200,125600,256800,265000,02/01/2021,Crozet,Henley,Western Albemarle,111,96,0,0
1900,NA,Average,1872,Central Air,0,4,3,1,6,0.41,138000,202200,340200,91600,08/04/2004,Crozet,Henley,Western Albemarle,111,122,0,0
1900,NA,Fair,2446,Central Air,0,3,1,0,6,0.33,126000,209800,335800,138500,07/15/1998,Crozet,Henley,Western Albemarle,111,122,0,0
1957,2019,Good,1384,Central Air,1,3,2,1,6,0.32,124000,248400,372400,341000,04/02/2019,Crozet,Henley,Western Albemarle,111,65,1,1
1927,2017,Excellent,1548,Central Air,1,3,2,1,6,0.822,184000,256300,440300,435000,06/15/2018,Crozet,Henley,Western Albemarle,111,95,1,1
1951,NA,Average,1176,Central Air,0,3,1,0,5,0.17,96000,155800,251800,85000,08/05/1998,Crozet,Henley,Western Albemarle,111,71,0,0
1940,NA,Average,768,No Central Air,0,1,1,0,4,0.42,112000,62100,174100,32000,11/16/1999,Crozet,Henley,Western Albemarle,111,82,0,0
1955,2018,Excellent,1200,Central Air,0,3,1,0,6,0.5,150000,142700,292700,245000,05/15/2018,Crozet,Henley,Western Albemarle,111,67,1,0
1940,1975,Average,1314,No Central Air,0,3,1,0,6,0.36,104000,125900,229900,65900,03/24/1995,Crozet,Henley,Western Albemarle,111,82,1,0
1932,NA,Average,758,No Central Air,0,2,1,0,4,0.19,80000,74700,154700,0,05/19/2005,Crozet,Henley,Western Albemarle,111,90,0,0
1932,NA,Average,1867,No Central Air,0,3,1,0,6,0.315,124000,157700,281700,100900,01/31/2001,Crozet,Henley,Western Albemarle,111,90,0,0
1890,NA,Average,2404,Central Air,1,3,2,0,7,0.53,154000,348700,502700,485000,06/15/2007,Crozet,Henley,Western Albemarle,111,132,0,1
1953,2020,Good,2073,Central Air,1,2,2,0,4,0.43,140000,281600,421600,273000,06/22/2018,Crozet,Henley,Western Albemarle,111,69,1,1
1906,NA,Average,2442,No Central Air,0,3,2,1,7,0.491,148000,262400,410400,0,08/22/2014,Crozet,Henley,Western Albemarle,111,116,0,0
1890,1979,Fair,2757,Central Air,1,5,3,0,11,0.459,144000,258900,402900,363000,11/06/2019,Crozet,Henley,Western Albemarle,111,132,1,1
1912,NA,Average,2295,Central Air,1,4,2,0,8,0.467,146000,377600,523600,442500,01/27/2006,Crozet,Henley,Western Albemarle,111,110,0,1
1930,1996,Average,1628,Central Air,0,3,2,0,6,0.401,136000,196500,332500,0,02/06/2013,Crozet,Henley,Western Albemarle,111,92,1,0
2021,NA,Average,2327,Central Air,0,3,2,2,7,0.047,75000,296900,371900,364666,03/31/2021,Crozet,Henley,Western Albemarle,111,1,0,0
1876,1901,Average,2398,No Central Air,1,3,1,1,5,0.812,184000,309500,493500,0,10/15/2021,Crozet,Henley,Western Albemarle,111,146,1,1
2019,NA,Average,2288,Central Air,1,3,2,1,6,0.288,120000,405400,525400,66106,08/21/2018,Crozet,Henley,Western Albemarle,111,3,0,1
1890,NA,Average,3352,No Central Air,0,6,2,0,9,0.573,158000,375700,533700,0,06/29/2015,Crozet,Henley,Western Albemarle,111,132,0,0
1913,NA,Fair,2480,Central Air,1,2,1,1,6,0.714,174000,190500,364500,0,08/04/2020,Crozet,Henley,Western Albemarle,111,109,0,1
1961,NA,Average,1135,Central Air,0,3,1,0,5,0.33,126000,150100,276100,0,07/22/2019,Crozet,Henley,Western Albemarle,111,61,0,0
1900,1972,Poor,1536,No Central Air,0,3,1,0,5,0.39,129200,87400,216600,0,01/27/2017,Crozet,Henley,Western Albemarle,111,122,1,0
1870,NA,Average,2856,Central Air,4,3,3,0,7,0.897,192000,306100,498100,120000,05/07/2014,Crozet,Henley,Western Albemarle,111,152,0,1
